,Barva(neobvezno) ,Ime storitve,Opis storitve (neobvezno),Čas trajanja (min),"Cena (€, uporabi piko ne vejice)",Tagi,"Izvajalci (Nobvezno, Ločeni z vejico)",Time without client on the service (min)(neobvezno),Lasts (min) (neobvezno),,,Unique Tags,Unique Izvajalci
,,Masaža obraz/ dekolte/ vrat,,30,38,Masaže,Monika Vider,,,,,,
,,Masaža za nosečnice,,45,45,Masaže,Monika Vider,,,,,,
,,Ročna limfna drenaža obraza,,20,25,Ostali tretmaji,Monika Vider,,,,,,
,,Svetovanje pri določanju tipa kože in pravilno izbiro nege,,20,15,Ostali tretmaji,Monika Vider,,,,,,
,,Gladka v poletje ,,100,48,Special paketi Monnie,Monika Vider,,,,,,
,,Lepa stopala in roke,,100,68,Special paketi Monnie,Monika Vider,,,,,,
,,"Urejena, brez ličil",,100,81,Special paketi Monnie,Monika Vider,,,,,,
,,All inclusive,,100,198,Special paketi Monnie,Monika Vider,,,,,,
,,Oblikovanje obrvi,,25,18,Moško oblikoavnje obrvi,Monika Vider,,,,,,
,,Nega obraza (čistilna),,45,45,Moška nega obraza Trilogy,Monika Vider,,,,,,
,,Antiage nega obraza,,60,55,Moška nega obraza Trilogy,Monika Vider,,,,,,
,,Mezoterapija antiage treatma,,60,90,Antiage program,Monika Vider,,,,,,
,,Prsa,,25,30,Moška depilacija Strip Wax – Klasičen vosek,Monika Vider,,,,,,
,,Hrbet,,25,30,Moška depilacija Strip Wax – Klasičen vosek,Monika Vider,,,,,,
,,Roke polovica,,25,20,Moška depilacija Strip Wax – Klasičen vosek,Monika Vider,,,,,,
,,Cele noge,,30,40,Moška depilacija Strip Wax – Klasičen vosek,Monika Vider,,,,,,
,,Zadnjica,,15,18,Moška depilacija Strip Wax – Klasičen vosek,Monika Vider,,,,,,
,,Trebuh,,10,18,Moška depilacija Strip Wax – Klasičen vosek,Monika Vider,,,,,,
,,Dlani,,10,6,Moška depilacija Strip Wax – Klasičen vosek,Monika Vider,,,,,,
